,Program Name,Program Type,Avg Days Between Inspections
19234,KALEIDOSCOPE KIDS PRESCHOOL - NOLAN,PRE-SCHOOL PROGRAM,76.64285714285714
19235,PREFERRED CHILD CARE LTD.,OUT OF SCHOOL CARE PROGRAM,32.61682242990654
19236,APPLE TREE PRESCHOOL,PRE-SCHOOL PROGRAM,123.28571428571429
19237,ISHINE CHILDCARE,DAY CARE PROGRAM,16.4
19238,BOW TRAIL DAYCARE LTD.,DAY CARE PROGRAM,100.60606060606061
19239,CLEVER DAYCARE LTD.,DAY CARE PROGRAM,21.751552795031056
19240,PLEASANT HEIGHTS AFTER SCHOOL #2,OUT OF SCHOOL CARE PROGRAM,52.53030303030303
19241,AEC BILINGUAL ART CHILDCARE,DAY CARE PROGRAM,12.5
19242,ALEXANDER FERGUSON ELEMENTARY SCHOOL SOCIETY,OUT OF SCHOOL CARE PROGRAM,95.76470588235294
19243,SUNVALLEY KIDS MONTESSORI QUEENSLAND,DAY CARE PROGRAM,11.61437908496732
19244,MOUNT ROYAL DAY CARE #3,DAY CARE PROGRAM,14.198412698412698
19245,BRIGHTPATH FALCONRIDGE,FACILITY-BASED PROGRAM,23.95744680851064
19246,1ST CLASS PRESCHOOL - NEW BRIGHTON,PRE-SCHOOL PROGRAM,89.58333333333333
19247,SPORTS STEPS ACADEMY,OUT OF SCHOOL CARE PROGRAM,18.38
19248,GROW AND LEARN CHILDCARE AND PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,31.339622641509433
19249,CALGARY JCC CHILDCARE,DAY CARE PROGRAM,46.30952380952381
19250,MINI MIRACLES DAYCARE LTD.,OUT OF SCHOOL CARE PROGRAM,38.70175438596491
19251,WEE WONDER DAYCARE,DAY CARE PROGRAM,50.46666666666667
19252,WEE WILD ONES FAIRVIEW,OUT OF SCHOOL CARE PROGRAM,15.051020408163266
19253,JUVENESCENCE - J.J O'BRIEN,OUT OF SCHOOL CARE PROGRAM,123.81818181818181
