CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Residential,1,HIW,HIGHWOOD,CENTRE,ESTABLISHED,1950s,-114.07989549483116,51.092358097754385,POINT (-114.07989549483116 51.092358097754385)
Residual Sub Area,4,01K,01K,NORTHWEST,N/A,UNDEVELOPED,-114.22275942835957,51.168724389792594,POINT (-114.22275942835957 51.168724389792594)
Residual Sub Area,4,13F,13F,SOUTH,FUTURE,UNDEVELOPED,-114.17500060743703,50.899415178873575,POINT (-114.17500060743703 50.899415178873575)
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,ESTABLISHED,1960s/1970s,-114.1950230911033,51.107770557464065,POINT (-114.1950230911033 51.107770557464065)
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,2020s,-114.16395793761632,51.175363661639985,POINT (-114.16395793761632 51.175363661639985)
Residential,1,EVE,EVERGREEN,SOUTH,COMPLETE,2000s,-114.11568326125712,50.918689470219824,POINT (-114.11568326125712 50.918689470219824)
Residential,1,GDL,GLENDALE,WEST,ESTABLISHED,1950s,-114.15271893228248,51.033372296692534,POINT (-114.15271893228248 51.033372296692534)
Industrial,2,OSH,OGDEN SHOPS,EAST,N/A,EMPLOYMENT,-114.00068438088392,50.996834133203734,POINT (-114.00068438088392 50.996834133203734)
Residual Sub Area,4,13E,13E,SOUTH,FUTURE,UNDEVELOPED,-114.19818673261896,50.899394757275395,POINT (-114.19818673261896 50.899394757275395)
Residential,1,RAM,RAMSAY,CENTRE,ESTABLISHED,INNER CITY,-114.04387168974047,51.035943082606465,POINT (-114.04387168974047 51.035943082606465)
Residual Sub Area,4,13J,13J,SOUTH,FUTURE,OTHER,-114.08825379678385,50.874046485995606,POINT (-114.08825379678385 50.874046485995606)
Residential,1,PKD,PARKDALE,CENTRE,ESTABLISHED,1950s,-114.13847609550773,51.06000471008409,POINT (-114.13847609550773 51.06000471008409)
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,CENTRE,ESTABLISHED,1950s,-114.04185129563606,51.07530316976029,POINT (-114.04185129563606 51.07530316976029)
Residential,1,CHA,CHAPARRAL,SOUTH,COMPLETE,2010s,-114.02566638608603,50.8846741085257,POINT (-114.02566638608603 50.8846741085257)
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,COMPLETE,2000s,-114.24589457960128,51.14650368915127,POINT (-114.24589457960128 51.14650368915127)
Residential,1,HSN,HASKAYNE,NORTHWEST,DEVELOPING,BUILDING OUT,-114.28663168773647,51.11694347985106,POINT (-114.28663168773647 51.11694347985106)
Residual Sub Area,4,03W,03W,NORTH,FUTURE,OTHER,-114.02476962843926,51.197967958347974,POINT (-114.02476962843926 51.197967958347974)
Industrial,2,ST3,STONEY 3,NORTHEAST,N/A,EMPLOYMENT,-113.97583888586992,51.147032835680434,POINT (-113.97583888586992 51.147032835680434)
Residential,1,GAW,GARRISON WOODS,CENTRE,ESTABLISHED,INNER CITY,-114.11361853617964,51.01717821662734,POINT (-114.11361853617964 51.01717821662734)
Residential,1,BNK,BANKVIEW,CENTRE,ESTABLISHED,INNER CITY,-114.10094568172788,51.034128830294094,POINT (-114.10094568172788 51.034128830294094)
